[2026-07-03_09-37-34] Attempt:   71 | t:    0             | Temperature:  13.1023 | Score: 1846060.0000
[2026-07-03_09-37-34] Attempt:   72 | t:    0             | Temperature:  12.4471 | Score: 1846060.0000
[2026-07-03_09-37-34] Attempt:   73 | t:    0             | Temperature:  11.8248 | Score: 1846060.0000
[2026-07-03_09-37-34] Attempt:   74 | t:    0             | Temperature:  11.2335 | Score: 1839771.0000
[2026-07-03_09-37-34] Attempt:   75 | t:    0             | Temperature:  10.6719 | Score: 1833197.0000
[2026-07-03_09-37-34] Attempt:   76 | t:    0             | Temperature:  10.1383 | Score: 1833197.0000
[2026-07-03_09-37-34] Attempt:   -1 | t:   -1             | Temperature:   9.6314 | Score: 1833197.0000
[2026-07-03_09-37-34] Attempt:    0 | t:    0             | Temperature: 500.0000 | Score: 945850.0000
[2026-07-03_09-37-34] Attempt:    1 | t:    0             | Temperature: 475.0000 | Score: 944548.0000
[2026-07-03_09-37-34] Attempt:    2 | t:    0             | Temperature: 451.2500 | Score: 943852.0000
[2026-07-03_09-37-34] Attempt:    3 | t:    0             | Temperature: 428.6875 | Score: 943761.0000
[2026-07-03_09-37-34] Attempt:    4 | t:    0             | Temperature: 407.2531 | Score: 943761.0000
[2026-07-03_09-37-34] Attempt:    5 | t:    0             | Temperature: 386.8905 | Score: 943761.0000
[2026-07-03_09-37-34] Attempt:    6 | t:    0             | Temperature: 367.5459 | Score: 943761.0000
[2026-07-03_09-37-34] Attempt:    7 | t:    0             | Temperature: 349.1686 | Score: 943761.0000
[2026-07-03_09-37-34] Attempt:    8 | t:    0             | Temperature: 331.7102 | Score: 939177.0000
[2026-07-03_09-37-34] Attempt:    9 | t:    0             | Temperature: 315.1247 | Score: 939177.0000
[2026-07-03_09-37-34] Attempt:   10 | t:    0             | Temperature: 299.3685 | Score: 935546.0000
[2026-07-03_09-37-34] Attempt:   11 | t:    0             | Temperature: 284.4000 | Score: 935546.0000
[2026-07-03_09-37-34] Attempt:   12 | t:    0             | Temperature: 270.1800 | Score: 935546.0000
[2026-07-03_09-37-34] Attempt:   13 | t:    0             | Temperature: 256.6710 | Score: 932082.0000
[2026-07-03_09-37-34] Attempt:   14 | t:    0             | Temperature: 243.8375 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   15 | t:    0             | Temperature: 231.6456 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   16 | t:    0             | Temperature: 220.0633 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   17 | t:    0             | Temperature: 209.0602 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   18 | t:    0             | Temperature: 198.6072 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   19 | t:    0             | Temperature: 188.6768 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   20 | t:    0             | Temperature: 179.2430 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   21 | t:    0             | Temperature: 170.2808 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   22 | t:    0             | Temperature: 161.7668 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   23 | t:    0             | Temperature: 153.6784 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   24 | t:    0             | Temperature: 145.9945 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   25 | t:    0             | Temperature: 138.6948 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   26 | t:    0             | Temperature: 131.7600 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   27 | t:    0             | Temperature: 125.1720 | Score: 930666.0000
[2026-07-03_09-37-34] Attempt:   28 | t:    0             | Temperature: 118.9134 | Score: 930683.0000
[2026-07-03_09-37-34] Attempt:   29 | t:    0             | Temperature: 112.9678 | Score: 930683.0000
[2026-07-03_09-37-34] Attempt:   30 | t:    0             | Temperature: 107.3194 | Score: 930510.0000
[2026-07-03_09-37-34] Attempt:   31 | t:    0             | Temperature: 101.9534 | Score: 930510.0000
[2026-07-03_09-37-34] Attempt:   32 | t:    0             | Temperature:  96.8557 | Score: 930441.0000
[2026-07-03_09-37-34] Attempt:   33 | t:    0             | Temperature:  92.0130 | Score: 930441.0000
[2026-07-03_09-37-34] Attempt:   34 | t:    0             | Temperature:  87.4123 | Score: 928982.0000
[2026-07-03_09-37-34] Attempt:   35 | t:    0             | Temperature:  83.0417 | Score: 928982.0000
